NU_INSCRICAO,NU_ANO,TP_SEXO,TP_COR_RACA,TP_ESTADO_CIVIL,TP_NACIONALIDADE,SG_UF_RESIDENCIA,TP_ST_CONCLUSAO,Q001,Q002,Q003,Q004,Q006,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA,APPROVED_ADM,APPROVED_MED
190005116150,2019,F,2,1,1,RJ,2,H,E,B,C,C,18,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190005220307,2019,M,5,1,1,MS,1,C,C,A,A,B,20,425.7,380.7,409.4,560.0,540.0,7,443.95,0,0
190001653276,2019,M,3,1,1,MG,1,C,C,C,B,C,19,433.6,396.1,518.8,571.1,720.0,5,479.9,0,0
190001234607,2019,F,3,2,1,BA,1,E,D,C,B,C,36,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190002232905,2019,M,1,1,1,PB,2,B,B,A,A,B,18,484.5,562.9,565.6,461.4,400.0,5,518.6,0,0
190002034561,2019,M,1,1,1,DF,1,A,B,F,B,B,21,471.0,512.2,527.3,501.5,580.0,5,503.0,0,0
190002194734,2019,M,2,1,1,PE,1,C,B,C,F,G,25,471.0,512.2,527.3,501.5,580.0,4,503.0,0,0
190002864377,2019,F,3,1,1,GO,1,B,B,A,F,C,19,357.4,426.6,492.2,520.5,620.0,4,449.175,0,0
190005165411,2019,M,3,2,1,PE,1,C,D,B,B,C,28,421.4,468.4,506.9,521.6,580.0,2,479.57499999999993,0,0
190004281755,2019,F,1,1,1,PR,2,G,E,C,B,I,18,562.4,609.6,550.4,458.6,680.0,4,545.25,0,0
190003864808,2019,M,1,1,1,PR,1,D,D,A,A,E,18,383.0,444.7,468.3,437.8,600.0,4,433.45,0,0
190005127592,2019,M,3,0,1,SP,1,C,B,C,B,G,26,395.6,400.4,420.9,398.2,560.0,7,403.77500000000003,0,0
190002708656,2019,F,3,1,1,PE,1,E,C,F,F,B,19,492.6,520.8,512.2,366.6,480.0,6,473.04999999999995,0,0
190003737994,2019,M,3,1,1,DF,1,F,F,D,D,L,17,636.2,613.4,612.8,766.4,660.0,2,657.1999999999999,1,0
190005924478,2019,M,1,1,1,SC,2,B,C,A,C,C,19,471.0,512.2,527.3,501.5,580.0,6,503.0,0,0
190004736414,2019,F,2,1,1,GO,3,F,F,D,B,C,17,515.6,617.9,584.0,650.5,600.0,5,592.0,1,0
190002764763,2019,M,3,1,1,PB,1,E,E,D,D,H,28,540.0,571.3,555.3,527.5,340.0,2,548.525,0,0
190005127206,2019,M,1,1,1,SP,1,E,F,B,D,J,18,391.7,361.1,495.4,432.0,380.0,4,420.04999999999995,0,0
190005840813,2019,M,2,1,1,SP,1,E,E,D,B,G,29,566.6,615.1,626.2,560.7,680.0,5,592.1500000000001,1,0
190005190224,2019,M,5,1,1,PE,1,E,G,D,D,E,22,412.7,482.9,499.1,377.6,740.0,5,443.07499999999993,0,0
190005120101,2019,M,1,1,1,SP,3,G,G,E,E,P,15,547.2,498.7,508.4,703.5,600.0,4,564.45,0,0
190001161607,2019,M,3,1,1,CE,2,C,C,D,D,C,17,646.8,611.1,594.9,666.2,320.0,3,629.75,1,0
190004434373,2019,M,1,1,1,PB,1,H,B,F,B,B,28,374.9,365.1,403.1,402.0,420.0,2,386.275,0,0
190002751890,2019,M,3,1,1,CE,2,H,C,F,B,B,17,378.4,446.6,473.1,483.0,500.0,5,445.275,0,0
190004920872,2019,F,3,1,1,AP,3,G,F,D,B,H,17,409.1,372.8,487.2,509.6,620.0,4,444.67500000000007,0,0
190002172822,2019,F,3,1,1,MG,3,B,B,B,B,B,16,452.1,490.2,499.4,490.4,600.0,4,483.025,0,0
190001524340,2019,F,1,1,1,RJ,1,C,D,A,B,C,20,421.7,520.3,550.5,435.9,660.0,3,482.1,0,0
190003776660,2019,M,3,1,1,ES,1,C,C,D,C,D,24,471.0,512.2,527.3,501.5,580.0,3,503.0,0,0
190002847120,2019,F,1,1,1,RJ,1,A,B,B,B,C,49,484.5,566.6,546.5,390.3,260.0,3,496.97499999999997,0,0
190004677991,2019,F,1,1,1,SP,1,E,F,D,D,G,18,616.0,651.0,626.0,658.8,820.0,3,637.95,1,0
190005936416,2019,F,1,1,1,SC,2,D,D,B,B,D,19,414.5,451.2,493.4,551.5,540.0,3,477.65,0,0
190004633104,2019,M,1,1,1,MG,2,E,G,A,D,K,18,437.9,507.7,512.3,402.7,620.0,4,465.15,0,0
190003320577,2019,F,2,1,1,RJ,1,B,C,B,B,B,46,401.9,476.9,393.0,402.6,520.0,3,418.6,0,0
