NU_INSCRICAO,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA
190001409449,19.0,468.8,545.7,521.3,412.3,160.0,160.0,160.0,160.0,160.0,800.0,2.0,487.025
190001409450,33.0,584.4,598.8,579.4,528.0,120.0,140.0,100.0,120.0,120.0,600.0,3.0,572.65
190001421560,19.0,361.2,499.0,403.5,392.5,120.0,120.0,120.0,120.0,80.0,560.0,5.0,414.05
190001493193,20.0,521.7,457.8,502.8,404.7,100.0,120.0,120.0,100.0,120.0,560.0,2.0,471.75
190001237812,18.0,411.8,524.5,520.8,529.5,160.0,140.0,120.0,140.0,180.0,740.0,2.0,496.65
190001480444,24.0,568.4,580.6,585.5,417.0,120.0,120.0,120.0,160.0,140.0,660.0,5.0,537.875
190001237813,23.0,468.6,517.3,528.9,513.5,140.0,120.0,100.0,120.0,100.0,580.0,2.0,507.075
190001121528,17.0,556.8,487.0,571.8,578.5,140.0,170.0,160.0,160.0,160.0,800.0,7.0,548.525
190001042838,21.0,395.1,554.7,550.0,406.4,120.0,120.0,120.0,100.0,100.0,560.0,2.0,476.55000000000007
190001595672,18.0,537.0,585.3,590.1,661.4,120.0,120.0,100.0,120.0,80.0,540.0,3.0,593.45
190001867760,18.0,523.2,469.3,508.4,679.4,140.0,160.0,120.0,120.0,100.0,640.0,4.0,545.075
190001595673,19.0,405.0,416.0,442.8,486.8,120.0,120.0,120.0,120.0,80.0,560.0,4.0,437.65
190001421561,20.0,348.0,444.1,411.4,590.1,140.0,140.0,140.0,120.0,140.0,680.0,7.0,448.4
190001595675,17.0,423.9,500.4,472.3,503.9,120.0,120.0,140.0,120.0,120.0,620.0,4.0,475.125
190001867761,27.0,610.7,709.4,604.3,723.6,160.0,120.0,140.0,120.0,120.0,660.0,2.0,662.0
190001692708,24.0,476.1,599.8,585.0,432.5,140.0,120.0,140.0,140.0,140.0,680.0,4.0,523.35
190001779797,17.0,467.9,548.7,536.1,392.4,120.0,120.0,120.0,120.0,120.0,600.0,4.0,486.275
190001480446,19.0,484.2,564.0,523.8,451.6,140.0,120.0,120.0,120.0,80.0,580.0,2.0,505.9
190001082476,33.0,454.4,419.2,466.3,441.7,120.0,120.0,100.0,100.0,80.0,520.0,4.0,445.4
190001237815,17.0,624.5,636.9,635.8,698.7,160.0,140.0,160.0,160.0,180.0,800.0,4.0,648.975
190001743753,19.0,402.1,419.5,424.7,455.8,140.0,120.0,120.0,120.0,140.0,640.0,4.0,425.525
190001237816,18.0,557.7,579.7,584.4,469.2,120.0,120.0,120.0,120.0,180.0,660.0,4.0,547.75
190001024984,33.0,443.8,573.3,572.4,486.5,100.0,120.0,120.0,120.0,100.0,560.0,5.0,519.0
190001042840,20.0,429.1,359.5,496.3,408.9,100.0,120.0,120.0,90.0,40.0,460.0,4.0,423.45000000000005
190001925229,18.0,416.3,489.4,501.7,394.4,160.0,170.0,120.0,160.0,80.0,720.0,5.0,450.45000000000005
190001779799,22.0,499.8,489.4,555.9,607.2,120.0,140.0,140.0,120.0,120.0,640.0,4.0,538.075
190001237817,19.0,409.4,401.1,421.9,413.7,90.0,90.0,90.0,90.0,20.0,250.0,7.0,411.52500000000003
190001421564,32.0,477.5,544.7,562.7,388.8,90.0,120.0,100.0,90.0,0.0,380.0,3.0,493.425
190001779800,18.0,522.5,572.2,512.9,549.0,120.0,170.0,140.0,160.0,140.0,760.0,4.0,539.15
190001658310,24.0,521.6,533.0,492.2,506.1,90.0,120.0,100.0,100.0,100.0,500.0,3.0,513.225
